word,prior,expected_guesses
alive,1.0,2.6774
aliya,0.0,2.7686
alkie,0.0,2.6637
alkin,0.0,2.6791
alkos,0.0,2.7062
alkyd,0.0,2.7799
alkyl,0.0,2.8551
allan,0.0,2.8058
allay,1.0,2.8826
allee,0.0,2.7368
allel,0.0,2.853
allen,0.0,2.6928
aller,0.0,2.6823
alley,1.0,2.7656
allin,0.0,2.7193
allis,0.0,2.7329
allod,0.0,2.7596
allot,0.994003,2.7167
allow,1.0,2.8208
alloy,1.0,2.7748
allus,0.0,2.7679
allyl,0.0,2.9311
almah,0.0,2.7749
almas,0.0,2.7506
almeh,0.0,2.6704
almes,0.0,2.6464
almud,0.0,2.7082
almug,0.0,2.7198
alods,0.0,2.675
aloed,0.0,2.6215
aloes,0.0,2.6193
aloft,1.0,2.6533
aloha,0.968989,2.7796
aloin,0.0,2.6181
alone,1.0,2.588
along,1.0,2.6367
aloof,1.0,2.7968
aloos,0.0,2.7263
alose,0.0,2.5833
aloud,1.0,2.6707
alowe,0.0,2.6833
alpha,1.0,2.784
altar,1.0,2.6962
alter,1.0,2.5778
altho,0.0,2.6688
altos,0.0,2.6103
alula,0.0,2.8587
alums,0.0,2.671
alumy,0.0,2.6912
alure,0.0,2.6204
alurk,0.0,2.6909
alvar,0.0,2.7569
alway,0.0,2.8129
amahs,0.0,2.8118
amain,0.0,2.7469
amari,0.0,2.7636
amaro,0.972228,2.7695
amass,1.0,2.8972
amate,0.0,2.706
amaut,0.0,2.7467
amaze,1.0,2.8916
amban,0.0,2.8192
amber,1.0,2.6772
ambit,0.973035,2.6856
amble,1.0,2.6595
ambos,0.0,2.7514
ambry,0.0,2.7321
ameba,0.0,2.8451
ameer,0.0,2.6822
amend,1.0,2.6617
amene,0.0,2.716
amens,0.0,2.6659
ament,0.0,2.6397
amias,0.0,2.7752
amice,0.0,2.6493
amici,0.0,2.8343
amide,0.0,2.6777
amido,0.0,2.7325
amids,0.0,2.7378
amies,0.0,2.6638
amiga,0.0,2.8177
amigo,0.942233,2.7399
amine,0.0,2.6356
amino,1.0,2.6981
amins,0.0,2.6872
amirs,0.0,2.6662
amiss,1.0,2.8064
amity,0.989425,2.6901
amlas,0.0,2.7647
amman,0.0,2.9124
ammas,0.0,2.9326
ammon,0.0,2.8272
ammos,0.0,2.8478
amnia,0.0,2.774
amnic,0.0,2.7138
amnio,0.0,2.6924
amoks,0.0,2.7579
amole,0.0,2.6314
among,1.0,2.7004
amore,0.0,2.6372
amort,0.0,2.6188
amour,0.989007,2.6873
amove,0.0,2.7481
amowt,0.0,2.743
amped,0.003896,2.6783
ample,1.0,2.6375
amply,1.0,2.6897
ampul,0.0,2.7198
amrit,0.0,2.6275
amuck,0.801422,2.7625
amuse,1.0,2.6701
amyls,0.0,2.7167
anana,0.0,2.9866
anata,0.0,2.8441
ancho,0.989113,2.7172
ancle,0.0,2.6183
ancon,0.0,2.779
andic,0.0,2.7049
andro,0.0,2.6679
anear,0.0,2.6843
anele,0.0,2.6585
anent,0.0,2.7151
angas,0.0,2.7705
angel,1.0,2.6269
anger,1.0,2.6441
angle,1.0,2.6117
anglo,0.0,2.6783
angry,1.0,2.6846
angst,1.0,2.6315
anigh,0.0,2.6958
anile,0.0,2.5868
anils,0.0,2.6298
anima,0.942233,2.7923
anime,1.0,2.6406
animi,0.0,2.8216
anion,0.0,2.7587
anise,1.0,2.622
anker,0.0,2.672
ankhs,0.0,2.7781
ankle,1.0,2.6615
ankus,0.0,2.7574
anlas,0.0,2.7251
annal,0.019518,2.8789
annan,0.0,2.9973
annas,0.0,2.8566
annat,0.0,2.8203
annex,1.0,2.9134
annoy,1.0,2.8084
annul,1.0,2.7873
annum,0.0,2.84
annus,0.0,2.8093
anoas,0.0,2.7286
anode,0.850312,2.6396
anole,0.850312,2.5934
anomy,0.0,2.6933
ansae,0.0,2.6943
ansas,0.0,2.854
antae,0.0,2.6792
antar,0.0,2.6784
antas,0.0,2.7096
anted,0.0,2.6198
antes,0.0,2.6156
antic,1.0,2.6416
antis,0.0,2.6246
antra,0.0,2.7065
antre,0.0,2.5677
antsy,1.0,2.6375
anura,0.0,2.7485
anvil,1.0,2.7197
anyon,0.0,2.8071
aorta,1.0,2.714
apace,1.0,2.7312
apage,0.0,2.7561
apaid,0.0,2.7704
apart,1.0,2.6908
apayd,0.0,2.8291
apays,0.0,2.8046
apeak,0.0,2.8207
apeek,0.0,2.7753
apers,0.0,2.6436
apert,0.0,2.5997
apery,0.0,2.6506
apgar,0.0,2.7618
aphid,0.948844,2.7242
aphis,0.0,2.7402
apian,0.0,2.7298
aping,0.99393,2.6898
apiol,0.0,2.6555
apish,0.0,2.6793
