word,unseen_prior,is_target,src_1_norvig,src_2_wordfreq,src_3_subtlex,src_4_github,src_5_nltk_news,src_6_nltk_fiction,src_7_nltk_reuters,src_8_nltk_gutenberg,src_9_nltk_chat,src_10_nltk_web,log_src_1_norvig,log_src_2_wordfreq,log_src_3_subtlex,log_src_4_github,log_src_5_nltk_news,log_src_6_nltk_fiction,log_src_7_nltk_reuters,log_src_8_nltk_gutenberg,log_src_9_nltk_chat,log_src_10_nltk_web,is_standard_plural,is_excluded,src_breadth,conversational_mean,tech_skew,oof_predicted_prob,ranking_prob,stage_1_rank,is_predicted_solution,is_in_4500_guess_list
viced,0.0,0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,3.104350519242735,-8.991399828238082,-1.0,0.3222192947339193,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,1,-2.9978499570595205,2.6589596044264803,7.439072877174524e-06,7.439072877174524e-06,14007,False,False
vices,0.0,0,995524.0,1.02e-06,28.0,788.0,0,1,0,6,0,0,5.998606112280647,-5.990965750758764,1.4487063199050798,2.8965813275057326,-1.0,-1.0,-1.0,0.4913616938342727,-1.0,-1.0,True,True,6,-1.635564857713421,2.5838555214662873,0.9271028499700309,0.9271028499700309,1747,False,True
vichy,0.0,0,282961.0,5.5e-07,35.0,423.0,0,0,0,0,0,0,5.453673887765112,-6.258832637569261,1.545307116465824,2.6264430253312945,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,4,-1.6783813802758594,2.491602892941507,0.7082050796333627,0.7082050796333627,2374,True,True
vicus,0.0,0,0.0,2.29e-08,0.0,13.0,0,0,0,0,0,0,3.104350519242735,-7.621238824683627,-1.0,1.1172712956557642,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,2,-2.6553097061709066,2.713945353998789,1.1593185864693549e-05,1.1593185864693549e-05,9381,False,False
video,1.0,1,365410017.0,0.000269,2105.0,40195.0,1,0,112,0,8,21,6.13080901026146,-5.718734767762263,1.8068580295188175,2.9965116522837576,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,8,-1.4779691845608613,2.4762250107027404,0.5829529988957703,0.5829529988957703,2747,True,True
viers,0.0,0,25474.0,1.1e-08,0.0,1.0,0,0,0,0,0,0,4.427252345127513,-7.92009553233328,-1.0,0.04139268515822508,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,True,True,3,-2.73002388308332,2.2507202256624326,1.2951184466791487e-05,1.2951184466791487e-05,9079,False,False
vieux,0.0,0,469535.0,2.51e-07,0.0,111.0,1,0,4,0,0,0,5.672842542369123,-6.59856499277013,-1.0,2.0457140589408676,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,5,-2.399641248192532,2.922498277662966,0.00012619835974985724,0.00012619835974985724,5849,False,False
views,0.0,0,77333335.0,6.76e-05,206.0,4612.0,7,1,39,49,0,2,6.13080901026146,-5.718734767762263,1.8068580295188175,2.9965116522837576,-1.0,-1.0,-1.0,0.4913616938342727,-1.0,-1.0,True,True,9,-1.4779691845608613,2.4762250107027404,0.983005813521301,0.983005813521301,492,False,True
viewy,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.104350519242735,-8.991399828238082,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,0,-2.9978499570595205,1.9978499570595205,7.523779141964293e-06,7.523779141964293e-06,13666,False,False
vifda,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.104350519242735,-8.991399828238082,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,0,-2.9978499570595205,1.9978499570595205,7.675525093286249e-06,7.675525093286249e-06,12390,False,False
viffs,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.104350519242735,-8.991399828238082,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,True,True,0,-2.9978499570595205,1.9978499570595205,8.06402725747637e-06,8.06402725747637e-06,11456,False,False
vigas,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.104350519242735,-8.991399828238082,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,True,True,0,-2.9978499570595205,1.9978499570595205,7.675525093286249e-06,7.675525093286249e-06,12391,False,False
vigia,0.0,0,0.0,1.07e-08,0.0,2.0,0,0,0,0,0,0,3.104350519242735,-7.931072388317928,-1.0,0.3222192947339193,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,2,-2.7327680970794823,2.393877744446442,1.0532167481942091e-05,1.0532167481942091e-05,9856,False,False
vigil,1.0,1,1183443.0,1.74e-06,44.0,877.0,0,0,0,13,0,0,6.0736137405794155,-5.759196239887983,1.6444385894678386,2.9430491110084067,-1.0,-1.0,-1.0,0.4913616938342727,-1.0,-1.0,False,False,5,-1.5286894126050359,2.5002139681092395,0.9475455671435656,0.9475455671435656,1559,True,True
vigor,1.0,1,977544.0,1.07e-06,21.0,463.0,1,0,0,4,0,0,5.990700882359286,-5.970202419169509,1.3242824552976926,2.665674780993893,-1.0,-1.0,-1.0,0.4913616938342727,-1.0,-1.0,False,False,6,-1.6614799909679543,2.494317381464901,0.9213719590406794,0.9213719590406794,1768,True,True
vilde,0.0,0,0.0,4.79e-08,0.0,218.0,0,0,0,5,0,0,3.104350519242735,-7.3105135516357524,-1.0,2.3386556655787003,-1.0,-1.0,-1.0,0.4913616938342727,-1.0,-1.0,False,False,3,-2.577628387908938,3.246956220698288,0.00014313672275946418,0.00014313672275946418,5789,False,False
viler,0.0,0,0.0,1.91e-08,1.0,14.0,0,0,0,1,0,0,3.104350519242735,-7.69637202361611,0.04139268515822508,1.14921911265538,-1.0,-1.0,-1.0,0.04139268515822508,-1.0,-1.0,False,False,4,-2.413744834614471,2.488354390942161,0.0003173420868540231,0.0003173420868540231,5389,False,False
villa,1.0,1,17587586.0,1.58e-05,224.0,7056.0,2,0,4,24,0,0,6.13080901026146,-5.718734767762263,1.8068580295188175,2.9965116522837576,-1.0,-1.0,-1.0,0.4913616938342727,-1.0,-1.0,False,False,7,-1.4779691845608613,2.4762250107027404,0.9800088146317398,0.9800088146317398,713,True,True
ville,0.0,0,2213387.0,1.38e-06,50.0,569.0,0,0,0,0,0,1,6.13080901026146,-5.859800031901642,1.6998377258672457,2.755188585608325,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,5,-1.539990576508599,2.4175848693127615,0.27682047487121825,0.27682047487121825,3200,True,True
villi,0.0,0,82864.0,1.07e-07,1.0,28.0,0,0,0,0,0,0,4.924979796180073,-6.966495827054826,0.04139268515822508,1.4487063199050798,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,4,-2.23127578547415,2.4556289454266897,0.0002447289114953399,0.0002447289114953399,5511,False,False
vills,0.0,0,0.0,2.34e-08,0.0,0.0,0,0,0,0,0,0,3.104350519242735,-7.612254340391137,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,True,True,1,-2.653063585097784,1.653063585097784,1.222287347984065e-05,1.222287347984065e-05,9217,False,False
vimen,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.104350519242735,-8.991399828238082,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,0,-2.9978499570595205,1.9978499570595205,8.06402725747637e-06,8.06402725747637e-06,11457,False,False
vinal,0.0,0,44098.0,2e-08,0.0,0.0,0,0,0,0,0,0,4.656764950335918,-7.677367288307777,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,2,-2.6693418220769445,1.6693418220769445,1.5021674503922995e-05,1.5021674503922995e-05,8502,False,False
vinas,0.0,0,31188.0,1.55e-08,0.0,0.0,0,0,0,0,0,0,4.511343163707616,-7.781989957015637,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,True,True,2,-2.695497489253909,1.695497489253909,1.4164905467876532e-05,1.4164905467876532e-05,8763,False,False
