word,prior,expected_guesses
balks,0.0,2.6028
balky,1.0,2.6286
ballo,0.0,2.6612
balls,0.0,2.6653
bally,0.0,2.6637
balms,0.0,2.5773
balmy,0.0546184942465753,2.5897
baloi,0.0,2.6026
balon,0.0,2.5506
baloo,0.0,2.6541
balot,0.0,2.5197
balsa,0.6924772515068494,2.6431
balti,0.0,2.5596
balun,0.0,2.5708
balus,0.0,2.5797
balut,0.0,2.5402
bamas,0.0,2.6922
bambi,0.0,2.7998
bamma,0.0,2.8456
bammy,0.0,2.7539
banak,0.0,2.6871
banal,1.0,2.6309
banco,0.0,2.5703
bancs,0.0,2.581
banda,0.0,2.6941
bandh,0.0,2.6377
bands,0.0,2.5857
bandy,0.954319,2.5865
baned,0.0,2.5389
banes,0.0,2.5353
bangs,0.0,2.5888
bania,0.0,2.64
banjo,0.0007792000000000001,2.7036
banks,0.0,2.613
banky,0.0,2.6297
banns,0.0,2.6937
bants,0.0,2.5513
bantu,0.0,2.5917
banty,0.0,2.5578
bantz,0.0,2.684
banya,0.0,2.6933
baons,0.0,2.5517
baozi,0.0,2.7526
bappu,0.0,2.795
bapus,0.0,2.6233
barbe,0.0,2.6241
barbs,0.0,2.6948
barby,0.0,2.7059
barca,0.0,2.6235
barde,0.0,2.5006
bardo,0.0,2.5622
bards,0.0,2.5667
bardy,0.0,2.5858
bared,0.003896,2.522
barer,0.829263,2.6182
bares,0.0,2.5156
barfi,0.0,2.6478
barfs,0.0,2.5999
barfy,0.0,2.6255
barge,0.6614512175342465,2.531
baric,0.0,2.5592
barks,0.0,2.5939
barky,0.0,2.6115
barms,0.0,2.5738
barmy,0.0,2.5748
barns,0.0,2.5245
barny,0.0,2.5476
baron,0.0007792000000000001,2.5121
barps,0.0,2.5696
barra,0.0,2.7046
barre,0.997756,2.6009
barro,0.0,2.6084
barry,0.0,2.6316
barye,0.0,2.5426
basal,0.987324,2.6485
basan,0.0,2.6366
basas,0.0,2.7788
based,0.003896,2.5565
basen,0.0,2.5276
baser,0.0,2.5037
bases,0.0,2.6887
basha,0.0,2.7058
basho,0.0,2.6219
basic,1.0,2.5901
basij,0.0,2.7305
basil,0.0007792000000000001,2.5446
basin,0.3657913643835616,2.5648
basis,0.0007792000000000001,2.7193
basks,0.0,2.7588
bason,0.0,2.5632
basse,0.0,2.6367
bassi,0.0,2.7174
basso,0.0,2.6943
bassy,0.0,2.6951
basta,0.0,2.6348
baste,0.0993324843835616,2.5007
basti,0.0,2.5719
basto,0.0,2.5566
basts,0.0,2.6761
batch,0.0007792000000000001,2.5802
bated,0.003896,2.5415
bates,0.0,2.5216
bathe,0.6459382005479452,2.5431
baths,0.0,2.577
