target,guesses,guess_count,is_common,won_in_6
amuse,slate-crump-amuse,3,True,True
amyls,slate-basis-pulmo-amyls,4,False,True
anana,slate-churn-piano-abjad-anana,5,False,True
anata,slate-aback-abaya-anata,4,False,True
ancho,slate-corny-abbot-ancho,4,True,True
ancle,slate-anglo-ankle-abaci-ancle,5,False,True
ancon,slate-corny-abbot-ancon,4,False,True
andic,slate-corny-admit-andic,4,False,True
andro,slate-corny-odour-radon-andro,5,False,True
anear,slate-raced-blown-arena-anear,5,False,True
anele,slate-anglo-ankle-abaci-anele,5,False,True
anent,slate-treed-aback-agent-abmho-anent,6,False,True
angas,slate-oasis-anger-angas,4,False,True
angel,slate-rangy-angel,3,True,True
anger,slate-raced-about-anger,4,True,True
angle,slate-anglo-angle,3,True,True
anglo,slate-colin-anglo,3,True,True
angry,slate-corny-abide-angry,4,True,True
angst,slate-antsy-angst,3,True,True
anigh,slate-corny-denim-abbas-anigh,5,False,True
anile,slate-anglo-ankle-abaci-anile,5,False,True
anils,slate-basis-pring-anils,4,False,True
anima,slate-corny-denim-anima,4,True,True
anime,slate-garbo-anime,3,True,True
animi,slate-corny-denim-anima-animi,5,False,True
anion,slate-corny-badge-axion-anvil-anion,6,False,True
anise,slate-crump-anise,3,True,True
anker,slate-raced-about-anger-anker,5,False,True
ankhs,slate-oasis-anger-annas-ankhs,5,False,True
ankle,slate-anglo-ankle,3,True,True
ankus,slate-oasis-anger-annas-ankhs-ankus,6,False,True
anlas,slate-basis-pulmo-anlas,4,False,True
annal,slate-colin-larva-annal,4,True,True
annan,slate-corny-denim-ganja-annan,5,False,True
annas,slate-oasis-anger-annas,4,True,True
annat,slate-tarot-adage-annat,4,False,True
annex,slate-raced-aback-annex,4,True,True
annoy,slate-corny-annoy,3,True,True
annul,slate-colin-larva-annul,4,True,True
annum,slate-corny-denim-annum,4,True,True
annus,slate-oasis-anger-annas-annus,5,False,True
anoas,slate-oasis-comas-anoas,4,False,True
anode,slate-garbo-awoke-anode,4,True,True
anole,slate-anglo-anole,3,True,True
anomy,slate-corny-annoy-anomy,4,False,True
ansae,slate-crump-anise-ansae,4,False,True
ansas,slate-oasis-ansas,3,False,True
antae,slate-about-antae,3,False,True
antar,slate-tarot-abaya-antar,4,False,True
antas,slate-antsy-antas,3,False,True
anted,slate-treed-amigo-acted-anted,5,False,True
antes,slate-dater-antes,3,False,True
antic,slate-tarot-ached-antic,4,True,True
antis,slate-antsy-antas-antis,4,False,True
antra,slate-tarot-abaya-antra,4,False,True
antre,slate-about-antae-antre,4,False,True
antsy,slate-antsy,2,True,True
anura,slate-corny-aboil-aapas-anura,5,False,True
anvil,slate-colin-anvil,3,True,True
anyon,slate-corny-anyon,3,False,True
aorta,slate-carny-aorta,3,True,True
apace,slate-prick-apace,3,True,True
apage,slate-prick-agape-apage,4,False,True
apaid,slate-churn-foamy-aalii-apaid,5,False,True
apart,slate-grunt-apart,3,True,True
apayd,slate-churn-foamy-abaca-apayd,5,False,True
apays,slate-curbs-acing-amass-apayd-apays,6,False,True
apeak,slate-raced-venom-aahed-apeak,5,False,True
apeek,slate-raced-aback-apeek,4,False,True
apers,slate-wiper-apers,3,False,True
apert,slate-treed-avert-apert,4,False,True
apery,slate-raced-blown-freak-afizz-apery,6,False,True
apgar,slate-corny-rabid-augur-apgar,5,False,True
aphid,slate-corny-mamba-befit-aphid,5,True,True
aphis,slate-oasis-aburn-aphis,4,False,True
apian,slate-corny-denim-abbas-avian-apian,6,False,True
aping,slate-corny-mixup-aping,4,True,True
apiol,slate-colin-aioli-apiol,4,False,True
apish,slate-oasis-aargh-apish,4,False,True
apism,slate-oasis-aargh-apism,4,False,True
apnea,slate-raced-aback-apnea,4,True,True
apode,slate-garbo-awoke-anode-apode,5,False,True
apods,slate-oasis-comas-grand-apods,5,False,True
apols,slate-basis-pulmo-apols,4,False,True
apoop,slate-corny-dumbo-ajwan-apoop,5,False,True
aport,slate-tarot-abort-amort-aport,5,False,True
appal,slate-colin-grump-apply-appal,5,False,True
appam,slate-corny-mamba-appam,4,False,True
appay,slate-corny-gaped-appay,4,False,True
appel,slate-rangy-medal-abcee-appel,5,False,True
apple,slate-anglo-amped-apple,4,True,True
apply,slate-colin-grump-apply,4,True,True
appro,slate-corny-vroom-radio-aggro-appro,6,False,True
